Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,DeliveryMissing,Gender,Name,City,State Code,State_x,Zip Code,Country_x,Continent,Birthday,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category,Country_y,State_y,Square Meters,Open Date,Exchange
367031,2,2016-01-02,2016-01-07,909014,0,382,2,GBP,False,Female,Tegan Macdonald,WESTON UNDER PENYARD,Hereford,Hereford,HR9 6LU,United Kingdom,Europe,1954-10-19,Adventure Works Laptop12 M1201 Red,Adventure Works,Red,195.24,382.95,301,Laptops,3,Computers,Online,Online,1402.1969696969697,2010-01-01,0.6742
367031,3,2016-01-02,2016-01-07,909014,0,1722,3,GBP,False,Female,Tegan Macdonald,WESTON UNDER PENYARD,Hereford,Hereford,HR9 6LU,United Kingdom,Europe,1954-10-19,MGS Zoo Tycoon 2: End range Species Expansion Pack E105,Tailspin Toys,Silver,28.55,56.0,702,Download Games,7,Games and Toys,Online,Online,1402.1969696969697,2010-01-01,0.6742
367031,4,2016-01-02,2016-01-07,909014,0,132,1,GBP,False,Female,Tegan Macdonald,WESTON UNDER PENYARD,Hereford,Hereford,HR9 6LU,United Kingdom,Europe,1954-10-19,"Adventure Works 20"" Analog CRT TV E45 Brown",Adventure Works,Brown,101.97,200.0,201,Televisions,2,TV and Video,Online,Online,1402.1969696969697,2010-01-01,0.6742
369011,1,2016-01-04,2016-01-09,1664824,0,1261,2,USD,False,Female,Barbara Hawkins,West Allis,WI,Wisconsin,53227,United States,North America,1954-06-24,Contoso Multi-Use Terminal Cable E308 White,Contoso,White,18.86,36.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,Online,Online,1402.1969696969697,2010-01-01,1.0
369012,1,2016-01-04,2016-01-13,1696695,0,1423,3,USD,False,Male,Virgil Rowland,Akron,OH,Ohio,44311,United States,North America,2001-10-07,The Phone Company Touch Screen Phones - CRT M11 Black,The Phone Company,Black,86.91,189.0,503,Touch Screen Phones,5,Cell phones,Online,Online,1402.1969696969697,2010-01-01,1.0
369012,2,2016-01-04,2016-01-13,1696695,0,1656,1,USD,False,Male,Virgil Rowland,Akron,OH,Ohio,44311,United States,North America,2001-10-07,Contoso DVD 9-Inch Player Portable M300 White,Contoso,White,73.57,159.99,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,1.0
369012,3,2016-01-04,2016-01-13,1696695,0,1660,2,USD,False,Male,Virgil Rowland,Akron,OH,Ohio,44311,United States,North America,2001-10-07,Contoso DVD 15-Inch Player Portable L200 White,Contoso,White,96.08,289.99,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,1.0
369012,4,2016-01-04,2016-01-13,1696695,0,1610,6,USD,False,Male,Virgil Rowland,Akron,OH,Ohio,44311,United States,North America,2001-10-07,SV DVD 15-Inch Player Portable L200 Silver,Southridge Video,Silver,96.08,289.99,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,1.0
371004,1,2016-01-06,2016-01-14,1378439,0,1305,8,USD,False,Female,Maria Reid,Jackson,MS,Mississippi,39213,United States,North America,1992-07-27,Contoso Lens Adapter M450 Silver,Contoso,Silver,31.27,68.0,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,Online,Online,1402.1969696969697,2010-01-01,1.0
371006,1,2016-01-06,2016-01-15,1501383,0,1279,1,USD,False,Male,William Romriell,Dallas,TX,Texas,75240,United States,North America,1995-10-11,Contoso General Soft Carrying Case E318 Black,Contoso,Black,7.64,14.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,Online,Online,1402.1969696969697,2010-01-01,1.0
371007,1,2016-01-06,2016-01-18,1378439,0,1639,1,USD,False,Female,Maria Reid,Jackson,MS,Mississippi,39213,United States,North America,1992-07-27,Contoso DVD 38 DVD Storage Binder E25 Red,Contoso,Red,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,1.0
371011,1,2016-01-06,2016-01-14,776266,0,458,5,EUR,False,Male,Giorgio Ferrari,Gorgona Isola,LI,Livorno,57030,Italy,Europe,1973-11-04,WWI Desktop PC1.80 E1800 White,Wide World Importers,White,117.21,229.9,303,Desktops,3,Computers,Online,Online,1402.1969696969697,2010-01-01,0.9309
371011,2,2016-01-06,2016-01-14,776266,0,1573,3,EUR,False,Male,Giorgio Ferrari,Gorgona Isola,LI,Livorno,57030,Italy,Europe,1973-11-04,SV DVD Player M120 White,Southridge Video,White,27.13,58.99,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,0.9309
371011,3,2016-01-06,2016-01-14,776266,0,32,5,EUR,False,Male,Giorgio Ferrari,Gorgona Isola,LI,Livorno,57030,Italy,Europe,1973-11-04,Contoso 32GB Video MP3 Player M3200 Pink,Contoso,Pink,84.49,255.0,101,MP4&MP3,1,Audio,Online,Online,1402.1969696969697,2010-01-01,0.9309
371015,1,2016-01-06,2016-01-14,1669745,0,1679,5,USD,False,Male,James Anderson,Tallahassee,FL,Florida,32303,United States,North America,1961-09-09,MGS Hand Games for kids E300 Silver,Tailspin Toys,Silver,2.8,5.5,701,Boxed Games,7,Games and Toys,Online,Online,1402.1969696969697,2010-01-01,1.0
371015,2,2016-01-06,2016-01-14,1669745,0,1659,1,USD,False,Male,James Anderson,Tallahassee,FL,Florida,32303,United States,North America,1961-09-09,Contoso DVD 14-Inch Player Portable L100 White,Contoso,White,86.14,259.99,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,1.0
371015,3,2016-01-06,2016-01-14,1669745,0,1228,1,USD,False,Male,James Anderson,Tallahassee,FL,Florida,32303,United States,North America,1961-09-09,"Fabrikam Independent Filmmaker 1"" 25mm X400 Blue",Fabrikam,Blue,536.74,1620.0,405,Camcorders,4,Cameras and camcorders,Online,Online,1402.1969696969697,2010-01-01,1.0
371015,4,2016-01-06,2016-01-14,1669745,0,1458,4,USD,False,Male,James Anderson,Tallahassee,FL,Florida,32303,United States,North America,1961-09-09,The Phone Company Touch Screen Phones - LCD M12 Gold,The Phone Company,Gold,91.97,200.0,503,Touch Screen Phones,5,Cell phones,Online,Online,1402.1969696969697,2010-01-01,1.0
372000,1,2016-01-07,2016-01-22,1413890,0,148,3,USD,False,Female,Jena Zimmerman,Aloha,OR,Oregon,97007,United States,North America,1999-01-14,"Adventure Works 52"" LCD HDTV X590 Brown",Adventure Works,Brown,960.82,2899.99,201,Televisions,2,TV and Video,Online,Online,1402.1969696969697,2010-01-01,1.0
372000,2,2016-01-07,2016-01-22,1413890,0,1620,1,USD,False,Female,Jena Zimmerman,Aloha,OR,Oregon,97007,United States,North America,1999-01-14,Contoso DVD Player M140 Gold,Contoso,Gold,28.05,60.99,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,1.0
372000,3,2016-01-07,2016-01-22,1413890,0,825,3,USD,False,Female,Jena Zimmerman,Aloha,OR,Oregon,97007,United States,North America,1999-01-14,Contoso Reserve Pen - Tablet Pen E200 Grey,Contoso,Grey,7.09,13.9,308,Computers Accessories,3,Computers,Online,Online,1402.1969696969697,2010-01-01,1.0
372006,1,2016-01-07,2016-01-15,2095742,0,125,2,USD,False,Female,Michelle Krüger,Gooding,ID,Idaho,83330,United States,North America,1942-08-03,"Adventure Works 19"" Color Digital TV E35 Silver",Adventure Works,Silver,73.11,143.4,201,Televisions,2,TV and Video,Online,Online,1402.1969696969697,2010-01-01,1.0
373000,1,2016-01-08,2016-01-14,1367439,0,2509,3,USD,False,Female,Tammy Overall,Escondido,CA,California,92025,United States,North America,1999-05-27,Contoso Original K1m Li-Ion Standard Battery E170 Black,Contoso,Black,2.07,4.06,505,Cell phones Accessories,5,Cell phones,Online,Online,1402.1969696969697,2010-01-01,1.0
373000,2,2016-01-08,2016-01-14,1367439,0,716,3,USD,False,Female,Tammy Overall,Escondido,CA,California,92025,United States,North America,1999-05-27,Proseware High Speed Laser M2000 White,Proseware,White,69.25,209.0,306,"Printers, Scanners & Fax",3,Computers,Online,Online,1402.1969696969697,2010-01-01,1.0
373007,1,2016-01-08,2016-01-14,351747,0,103,2,CAD,False,Female,Irene Lee,Toronto,ON,Ontario,M4W 1J7,Canada,North America,1986-11-05,WWI Wireless Bluetooth Stereo Headphones M270 Black,Wide World Importers,Black,52.88,115.0,106,Bluetooth Headphones,1,Audio,Online,Online,1402.1969696969697,2010-01-01,1.4106
373007,2,2016-01-08,2016-01-14,351747,0,1455,5,CAD,False,Female,Irene Lee,Toronto,ON,Ontario,M4W 1J7,Canada,North America,1986-11-05,The Phone Company Pen Touch Screen Phones M320 Gold,The Phone Company,Gold,133.36,290.0,503,Touch Screen Phones,5,Cell phones,Online,Online,1402.1969696969697,2010-01-01,1.4106
373007,3,2016-01-08,2016-01-14,351747,0,1902,2,CAD,False,Female,Irene Lee,Toronto,ON,Ontario,M4W 1J7,Canada,North America,1986-11-05,Fabrikam Refrigerator 1.7CuFt E1200 White,Fabrikam,White,66.27,129.99,802,Refrigerators,8,Home Appliances,Online,Online,1402.1969696969697,2010-01-01,1.4106
373009,1,2016-01-08,2016-01-19,1064519,0,1589,4,GBP,False,Female,Matilda Dobson,SHOLDEN,Kent,Kent,CT14 4WY,United Kingdom,Europe,1956-02-02,SV DVD 38 DVD Storage Binder E25 Silver,Southridge Video,Silver,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,0.6861
374012,1,2016-01-09,2016-01-20,1758208,0,1280,1,USD,False,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,United States,North America,1995-05-12,Contoso General Soft Carrying Case E318 Silver,Contoso,Silver,7.64,14.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,Online,Online,1402.1969696969697,2010-01-01,1.0
374012,2,2016-01-09,2016-01-20,1758208,0,1276,1,USD,False,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,United States,North America,1995-05-12,Contoso Digital Cameras Lightweight Tripod E316 Pink,Contoso,Pink,26.58,52.13,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,Online,Online,1402.1969696969697,2010-01-01,1.0
374012,3,2016-01-09,2016-01-20,1758208,0,2454,5,USD,False,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,United States,North America,1995-05-12,Litware Desktop Wind Tower Oscillating Fan E1201 White,Litware,White,15.29,29.99,808,Fans,8,Home Appliances,Online,Online,1402.1969696969697,2010-01-01,1.0
374012,4,2016-01-09,2016-01-20,1758208,0,2108,1,USD,False,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,United States,North America,1995-05-12,Contoso Water Heater 2.6GPM E0900 Grey,Contoso,Grey,258.99,508.0,804,Water Heaters,8,Home Appliances,Online,Online,1402.1969696969697,2010-01-01,1.0
375000,1,2016-01-10,2016-01-18,1084570,0,1636,1,GBP,False,Male,Leon Harper,WADDINGHAM,West Lindsey,West Lindsey,DN21 1YS,United Kingdom,Europe,1997-09-19,Contoso DVD 55DVD Storage Binder M56 Silver,Contoso,Silver,5.82,12.66,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,0.6861
375000,2,2016-01-10,2016-01-18,1084570,0,88,7,GBP,False,Male,Leon Harper,WADDINGHAM,West Lindsey,West Lindsey,DN21 1YS,United Kingdom,Europe,1997-09-19,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Black,49.69,149.99,106,Bluetooth Headphones,1,Audio,Online,Online,1402.1969696969697,2010-01-01,0.6861
375000,3,2016-01-10,2016-01-18,1084570,0,2515,1,GBP,False,Male,Leon Harper,WADDINGHAM,West Lindsey,West Lindsey,DN21 1YS,United Kingdom,Europe,1997-09-19,Contoso In-Line Coupler E180 White,Contoso,White,1.71,3.35,505,Cell phones Accessories,5,Cell phones,Online,Online,1402.1969696969697,2010-01-01,0.6861
377006,1,2016-01-12,2016-01-20,934781,0,1432,1,GBP,False,Female,Abigail Savage,SWINHOPE,Lincoln,Lincoln,LN3 0PF,United Kingdom,Europe,1939-10-12,The Phone Company Touch Screen Phones Infrared M901 Grey,The Phone Company,Grey,137.96,300.0,503,Touch Screen Phones,5,Cell phones,Online,Online,1402.1969696969697,2010-01-01,0.6929
377006,2,2016-01-12,2016-01-20,934781,0,1580,1,GBP,False,Female,Abigail Savage,SWINHOPE,Lincoln,Lincoln,LN3 0PF,United Kingdom,Europe,1939-10-12,SV DVD Recorder L230 Grey,Southridge Video,Grey,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,0.6929
377006,3,2016-01-12,2016-01-20,934781,0,1462,1,GBP,False,Female,Abigail Savage,SWINHOPE,Lincoln,Lincoln,LN3 0PF,United Kingdom,Europe,1939-10-12,Contoso Touch Screen Phones 4-Wire/ Built-in M205 Black,Contoso,Black,123.24,268.0,503,Touch Screen Phones,5,Cell phones,Online,Online,1402.1969696969697,2010-01-01,0.6929
377006,4,2016-01-12,2016-01-20,934781,0,1936,1,GBP,False,Female,Abigail Savage,SWINHOPE,Lincoln,Lincoln,LN3 0PF,United Kingdom,Europe,1939-10-12,Fabrikam Refrigerator 4.6CuFt E2800 Orange,Fabrikam,Orange,152.94,299.99,802,Refrigerators,8,Home Appliances,Online,Online,1402.1969696969697,2010-01-01,0.6929
377006,5,2016-01-12,2016-01-20,934781,0,1007,1,GBP,False,Female,Abigail Savage,SWINHOPE,Lincoln,Lincoln,LN3 0PF,United Kingdom,Europe,1939-10-12,A. Datum Consumer Digital Camera E100 Orange,A. Datum,Orange,143.26,281.0,401,Digital Cameras,4,Cameras and camcorders,Online,Online,1402.1969696969697,2010-01-01,0.6929
377006,6,2016-01-12,2016-01-20,934781,0,320,1,GBP,False,Female,Abigail Savage,SWINHOPE,Lincoln,Lincoln,LN3 0PF,United Kingdom,Europe,1939-10-12,SV Car Video LCD7W M7082 Silver,Southridge Video,Silver,321.44,699.0,205,Car Video,2,TV and Video,Online,Online,1402.1969696969697,2010-01-01,0.6929
379002,1,2016-01-14,2016-01-24,716015,0,106,2,EUR,False,Male,Tarquinio Giordano,Borgo Sant'Antonio Abate,CE,Caserta,81040,Italy,Europe,1985-06-21,WWI Stereo Bluetooth Headphones New Generation M370 Black,Wide World Importers,Black,61.16,132.99,106,Bluetooth Headphones,1,Audio,Online,Online,1402.1969696969697,2010-01-01,0.918
379002,2,2016-01-14,2016-01-24,716015,0,386,2,EUR,False,Male,Tarquinio Giordano,Borgo Sant'Antonio Abate,CE,Caserta,81040,Italy,Europe,1985-06-21,Adventure Works Laptop19W X1980 Blue,Adventure Works,Blue,430.38,1299.0,301,Laptops,3,Computers,Online,Online,1402.1969696969697,2010-01-01,0.918
379002,3,2016-01-14,2016-01-24,716015,0,1654,3,EUR,False,Male,Tarquinio Giordano,Borgo Sant'Antonio Abate,CE,Caserta,81040,Italy,Europe,1985-06-21,Contoso DVD 14-Inch Player Portable L100 Silver,Contoso,Silver,86.14,259.99,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,0.918
379004,1,2016-01-14,2016-01-27,245912,0,321,2,CAD,False,Female,Evelyn Lavender,Calgary,AB,Alberta,T2P 0W4,Canada,North America,1959-11-29,SV Car Video LCD7 M7001 Silver,Southridge Video,Silver,151.3,329.0,205,Car Video,2,TV and Video,Online,Online,1402.1969696969697,2010-01-01,1.4364
381002,1,2016-01-16,2016-01-26,2042097,0,1283,1,USD,False,Male,Tom Kohler,Arlington,TX,Texas,76011,United States,North America,1986-12-19,Contoso Mini Battery Charger Kit E320 White,Contoso,White,12.74,24.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,Online,Online,1402.1969696969697,2010-01-01,1.0
381002,2,2016-01-16,2016-01-26,2042097,0,1345,1,USD,False,Male,Tom Kohler,Arlington,TX,Texas,76011,United States,North America,1986-12-19,Contoso 4-Line Expandable Cordless Phone System M900 Black,Contoso,Black,10.12,22.0,501,Home & Office Phones,5,Cell phones,Online,Online,1402.1969696969697,2010-01-01,1.0
381002,3,2016-01-16,2016-01-26,2042097,0,2510,2,USD,False,Male,Tom Kohler,Arlington,TX,Texas,76011,United States,North America,1986-12-19,Contoso Original K1m Li-Ion Standard Battery E170 White,Contoso,White,2.07,4.06,505,Cell phones Accessories,5,Cell phones,Online,Online,1402.1969696969697,2010-01-01,1.0
381012,1,2016-01-16,2016-01-23,2072376,0,1759,2,USD,False,Female,Claire Kaeppel,Rapid City,SD,South Dakota,57702,United States,North America,2000-05-17,MGS MechWarrior 4: Vengeance X800,Tailspin Toys,Purple,34.75,104.89,702,Download Games,7,Games and Toys,Online,Online,1402.1969696969697,2010-01-01,1.0
381012,2,2016-01-16,2016-01-23,2072376,0,1684,7,USD,False,Female,Claire Kaeppel,Rapid City,SD,South Dakota,57702,United States,North America,2000-05-17,MGS Hand Games for Office worker L299 Silver,Tailspin Toys,Silver,5.6,16.89,701,Boxed Games,7,Games and Toys,Online,Online,1402.1969696969697,2010-01-01,1.0
381013,1,2016-01-16,2016-01-21,1984685,0,1583,1,USD,False,Female,Ashley Ruvalcaba,Tampa,FL,Florida,33614,United States,North America,1944-11-28,SV DVD 58 DVD Storage Binder M55 Black,Southridge Video,Black,6.39,13.89,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,1.0
381013,2,2016-01-16,2016-01-21,1984685,0,584,8,USD,False,Female,Ashley Ruvalcaba,Tampa,FL,Florida,33614,United States,North America,1944-11-28,Contoso Screen 100in E010 Black,Contoso,Black,62.95,190.0,305,Projectors & Screens,3,Computers,Online,Online,1402.1969696969697,2010-01-01,1.0
384004,1,2016-01-19,2016-01-28,1316297,0,1150,2,USD,False,Male,Timothy Santillo,Milwaukee,WI,Wisconsin,53202,United States,North America,1978-07-24,Fabrikam Budget Movie-Maker 1/3'' 8.5mm E200 Black,Fabrikam,Black,209.54,411.0,405,Camcorders,4,Cameras and camcorders,Online,Online,1402.1969696969697,2010-01-01,1.0
384004,2,2016-01-19,2016-01-28,1316297,0,1578,6,USD,False,Male,Timothy Santillo,Milwaukee,WI,Wisconsin,53202,United States,North America,1978-07-24,SV DVD Recorder L210 Silver,Southridge Video,Silver,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,1.0
385000,1,2016-01-20,2016-01-25,1110691,0,1586,8,GBP,False,Female,Anna Knight,BALGAVIES,Angus,Angus,DD8 5DG,United Kingdom,Europe,1970-04-12,SV DVD 55DVD Storage Binder M56 Black,Southridge Video,Black,5.82,12.66,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,0.706
385000,2,2016-01-20,2016-01-25,1110691,0,1427,5,GBP,False,Female,Anna Knight,BALGAVIES,Angus,Angus,DD8 5DG,United Kingdom,Europe,1970-04-12,"The Phone Company Touch Screen Phones 26-2.2"" M200 Grey",The Phone Company,Grey,105.77,230.0,503,Touch Screen Phones,5,Cell phones,Online,Online,1402.1969696969697,2010-01-01,0.706
385000,3,2016-01-20,2016-01-25,1110691,0,166,3,GBP,False,Female,Anna Knight,BALGAVIES,Angus,Angus,DD8 5DG,United Kingdom,Europe,1970-04-12,SV 16xDVD M300 Black,Southridge Video,Black,54.72,119.0,202,VCD & DVD,2,TV and Video,Online,Online,1402.1969696969697,2010-01-01,0.706
386001,1,2016-01-21,2016-01-30,1912666,0,1996,2,USD,False,Female,Jana Klusová,Washington,MD,Maryland,20008,United States,North America,1975-04-13,Fabrikam Microwave 2.2CuFt M1250 Grey,Fabrikam,Grey,91.97,199.99,803,Microwaves,8,Home Appliances,Online,Online,1402.1969696969697,2010-01-01,1.0
386001,2,2016-01-21,2016-01-30,1912666,0,1577,1,USD,False,Female,Jana Klusová,Washington,MD,Maryland,20008,United States,North America,1975-04-13,SV DVD Recorder L200 Black,Southridge Video,Black,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,1.0
386005,1,2016-01-21,2016-02-02,345812,0,1600,1,CAD,False,Male,Grant Barker,Vancouver,BC,British Columbia,V5T 1Z7,Canada,North America,1982-04-11,SV DVD External DVD Burner M200 Silver,Southridge Video,Silver,26.62,57.88,602,Movie DVD,6,"Music, Movies and Audio Books",Online,Online,1402.1969696969697,2010-01-01,1.4459
386005,2,2016-01-21,2016-02-02,345812,0,237,1,CAD,False,Male,Grant Barker,Vancouver,BC,British Columbia,V5T 1Z7,Canada,North America,1982-04-11,Litware Home Theater System 5.1 Channel M514 Brown,Litware,Brown,275.46,599.0,203,Home Theater System,2,TV and Video,Online,Online,1402.1969696969697,2010-01-01,1.4459
386011,1,2016-01-21,2016-01-28,541598,0,54,6,EUR,False,Female,Julia Faber,Kranzberg,BY,Freistaat Bayern,85400,Germany,Europe,1973-06-02,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.07,296.0,104,Recording Pen,1,Audio,Online,Online,1402.1969696969697,2010-01-01,0.918
386011,2,2016-01-21,2016-01-28,541598,0,101,2,EUR,False,Female,Julia Faber,Kranzberg,BY,Freistaat Bayern,85400,Germany,Europe,1973-06-02,WWI Wireless Bluetooth Stereo Headphones M170 Pink,Wide World Importers,Pink,55.18,120.0,106,Bluetooth Headphones,1,Audio,Online,Online,1402.1969696969697,2010-01-01,0.918
